GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Native,Margin of Error; Total: - Native,Estimate; Total: - Foreign-Born,Margin of Error; Total: - Foreign-Born
0500000US04005,04005,"Coconino County, Arizona",,$*****,,,,
0500000US04007,04007,"Gila County, Arizona",,$*****,,,,
0500000US04009,04009,"Graham County, Arizona",,$*****,,,,
0500000US04011,04011,"Greenlee County, Arizona",,$*****,,,,
0500000US04012,04012,"La Paz County, Arizona",,$*****,,,,
0500000US04013,04013,"Maricopa County, Arizona",,$*****,,,,
0500000US04015,04015,"Mohave County, Arizona",,$*****,,,,
0500000US04017,04017,"Navajo County, Arizona",,$*****,,,,
0500000US04019,04019,"Pima County, Arizona",,$*****,,,,
0500000US04021,04021,"Pinal County, Arizona",,$*****,,,,
0500000US04023,04023,"Santa Cruz County, Arizona",,$*****,,,,
0500000US04025,04025,"Yavapai County, Arizona",,$*****,,,,
0500000US04027,04027,"Yuma County, Arizona",,$*****,,,,
0500000US05001,05001,"Arkansas County, Arkansas",,$*****,,,,
0500000US05003,05003,"Ashley County, Arkansas",,$*****,,,,
0500000US05005,05005,"Baxter County, Arkansas",,$*****,,,,
0500000US05007,05007,"Benton County, Arkansas",,$*****,,,,
0500000US05009,05009,"Boone County, Arkansas",,$*****,,,,
0500000US05011,05011,"Bradley County, Arkansas",,$*****,,,,
0500000US05013,05013,"Calhoun County, Arkansas",,$*****,,,,
0500000US05015,05015,"Carroll County, Arkansas",,$*****,,,,
0500000US05017,05017,"Chicot County, Arkansas",,$*****,,,,
0500000US05019,05019,"Clark County, Arkansas",,$*****,,,,
0500000US05021,05021,"Clay County, Arkansas",,$*****,,,,
0500000US05023,05023,"Cleburne County, Arkansas",,$*****,,,,
0500000US05025,05025,"Cleveland County, Arkansas",,$*****,,,,
0500000US05027,05027,"Columbia County, Arkansas",,$*****,,,,
0500000US05029,05029,"Conway County, Arkansas",,$*****,,,,
0500000US05031,05031,"Craighead County, Arkansas",,$*****,,,,
0500000US05033,05033,"Crawford County, Arkansas",,$*****,,,,
0500000US05035,05035,"Crittenden County, Arkansas",,$*****,,,,
0500000US05037,05037,"Cross County, Arkansas",,$*****,,,,
0500000US05039,05039,"Dallas County, Arkansas",,$*****,,,,
0500000US05041,05041,"Desha County, Arkansas",,$*****,,,,
0500000US05043,05043,"Drew County, Arkansas",,$*****,,,,
0500000US05045,05045,"Faulkner County, Arkansas",,$*****,,,,
0500000US05047,05047,"Franklin County, Arkansas",,$*****,,,,
0500000US05049,05049,"Fulton County, Arkansas",,$*****,,,,
0500000US05051,05051,"Garland County, Arkansas",,$*****,,,,
0500000US05053,05053,"Grant County, Arkansas",,$*****,,,,
0500000US05055,05055,"Greene County, Arkansas",,$*****,,,,
0500000US05057,05057,"Hempstead County, Arkansas",,$*****,,,,
0500000US05059,05059,"Hot Spring County, Arkansas",,$*****,,,,
0500000US05061,05061,"Howard County, Arkansas",,$*****,,,,
0500000US05063,05063,"Independence County, Arkansas",,$*****,,,,
0500000US05065,05065,"Izard County, Arkansas",,$*****,,,,
0500000US05067,05067,"Jackson County, Arkansas",,$*****,,,,
0500000US05069,05069,"Jefferson County, Arkansas",,$*****,,,,
0500000US05071,05071,"Johnson County, Arkansas",,$*****,,,,
0500000US05073,05073,"Lafayette County, Arkansas",,$*****,,,,
0500000US05075,05075,"Lawrence County, Arkansas",,$*****,,,,
0500000US05077,05077,"Lee County, Arkansas",,$*****,,,,
0500000US05079,05079,"Lincoln County, Arkansas",,$*****,,,,
0500000US05081,05081,"Little River County, Arkansas",,$*****,,,,
0500000US05083,05083,"Logan County, Arkansas",,$*****,,,,
0500000US05085,05085,"Lonoke County, Arkansas",,$*****,,,,
0500000US05087,05087,"Madison County, Arkansas",,$*****,,,,
0500000US05089,05089,"Marion County, Arkansas",,$*****,,,,
0500000US05091,05091,"Miller County, Arkansas",,$*****,,,,
0500000US05093,05093,"Mississippi County, Arkansas",,$*****,,,,
0500000US05095,05095,"Monroe County, Arkansas",,$*****,,,,
0500000US05097,05097,"Montgomery County, Arkansas",,$*****,,,,
0500000US05099,05099,"Nevada County, Arkansas",,$*****,,,,
0500000US05101,05101,"Newton County, Arkansas",,$*****,,,,
0500000US05103,05103,"Ouachita County, Arkansas",,$*****,,,,
0500000US05105,05105,"Perry County, Arkansas",,$*****,,,,
0500000US05107,05107,"Phillips County, Arkansas",,$*****,,,,
0500000US05109,05109,"Pike County, Arkansas",,$*****,,,,
