cong,idno,state,cd,statenm,party,name,dwnom1,dwnom2,bootse1,bootse2,corr12,logl,nchoices,errors,gmp
72,6991,36,0, NORTH D,200, NYE  G.P.    ,.241,1.01,.13850001,.051800001,.2291,-66.563622,245,28,.76200002
72,3347,36,0, NORTH D,200, FRAZIER  L.  ,.259,.96600002,.1163,.054499999,.1847,-73.902267,244,30,.73900002
72,3124,24,0, OHIO   ,200, FESS  S.D.   ,.34200001,-.271,.1434,.1697,.1697,-68.174187,218,34,.73100001
72,1224,24,0, OHIO   ,100, BULKLEY  R.  ,-.037999999,-.27000001,.0473,.0614,.35600001,-109.59808,227,56,.61699998
72,3706,53,0, OKLAHOM,100, GORE  T.P.   ,-.018999999,-.215,.022500001,.032000002,.1042,-120.41556,197,63,.54299998
72,9303,53,0, OKLAHOM,100, THOMAS  J.   ,.02,.28200001,.1613,.0579,.18610001,-85.988991,203,41,.65499997
72,8880,72,0, OREGON ,200, STEIWER  F.  ,.36300001,.24600001,.114,.13770001,.3091,-85.823997,238,46,.69700003
72,6367,72,0, OREGON ,200, MCNARY  C.   ,.26199999,.242,.063699998,.073899999,.27329999,-78.578728,231,30,.71200001
72,7782,14,0, PENNSYL,200, REED  D.A.   ,.285,-.55900002,.1586,.12,.2181,-72.434776,226,33,.72600001
72,2391,14,0, PENNSYL,200, DAVIS  J.J.  ,.31,.204,.1153,.1239,.33660001,-70.91333,185,33,.68199998
72,4274,5,0, RHODE I,200, HEBERT  F.   ,.42699999,-.58499998,.1068,.102,.1539,-43.14764,218,22,.81999999
72,6441,5,0, RHODE I,200, METCALF  J.  ,.28200001,-.83700001,.1728,.052700002,.021600001,-47.928791,211,25,.79699999
72,8613,48,0, SOUTH C,100, SMITH  E.D.  ,-.15000001,-.479,.015900001,.0307,.301,-96.541771,179,60,.583
72,1370,48,0, SOUTH C,100, BYRNES  J.   ,-.26199999,-.60900003,.089000002,.088200003,.4434,-72.10759,231,26,.73199999
72,1234,37,0, SOUTH D,100, BULOW  W.J.  ,-.082000002,.229,.2297,.189,.163,-92.89257,227,39,.66399997
72,6954,37,0, SOUTH D,200, NORBECK  P.  ,.259,.85900003,.095700003,.090800002,.23999999,-77.120247,179,35,.64999998
72,4717,54,0, TENNESS,100, HULL  C.     ,-.249,-.48300001,.1311,.13259999,.44240001,-58.062752,177,23,.72000003
72,6293,54,0, TENNESS,100, MCKELLAR     ,-.175,-.296,.072300002,.028000001,.3339,-68.34269,191,22,.699
72,8446,49,0, TEXAS  ,100, SHEPPARD     ,-.30000001,-.33399999,.1532,.1802,.18179999,-129.35121,248,68,.59399998
72,1986,49,0, TEXAS  ,100, CONNALLY     ,-.032000002,.025,.1198,.065099999,.1908,-112.96478,229,59,.611
72,8713,67,0, UTAH   ,200, SMOOT  R.    ,.35499999,-.162,.0757,.15809999,.35960001,-68.469254,194,37,.70300001
72,5274,67,0, UTAH   ,100, KING  W.H.   ,-.149,-.68099999,.029300001,.073299997,.37560001,-88.269508,194,45,.634
72,2302,6,0, VERMONT,200, DALE  P.H.   ,.301,-.048999999,.1032,.1437,.36449999,-95.675591,214,47,.639
72,296,6,0, VERMONT,200, AUSTIN  W.   ,.228,-.27700001,.19419999,.20110001,.2349,-64.895844,224,23,.74800003
72,9106,40,0, VIRGINI,100, SWANSON  C.  ,-.29100001,-.58600003,.060600001,.145,.3294,-23.058411,76,8,.73799998
72,3625,40,0, VIRGINI,100, GLASS  C.    ,-.23899999,-.83499998,.021500001,.044,.3161,-71.184433,187,33,.68300003
72,2595,73,0, WASHING,100, DILL  C.C.   ,.057999998,.32699999,.1178,.078299999,.1257,-99.937576,215,45,.62800002
72,5065,73,0, WASHING,200, JONES  W.L.  ,.30399999,.32499999,.034299999,.1055,.53460002,-77.284683,181,37,.65200001
72,3742,73,0, WASHING,200, GRAMMER  E.  ,.23999999,-.97100002,.0902,.1983,.55500001,-13.44539,60,4,.79900002
72,4190,56,0, WEST VI,200, HATFIELD     ,.45500001,.36399999,.1072,.162,.29519999,-71.708862,217,29,.71899998
72,6856,56,0, WEST VI,100, NEELY  M.M.  ,-.114,.15000001,.1813,.13060001,.1164,-74.864166,209,41,.699
72,5402,25,0, WISCONS,200, LAFOLLETTE   ,.17399999,.991,.19410001,.045400001,.1076,-95.00338,223,47,.653
72,761,25,0, WISCONS,200, BLAINE  J.   ,.050999999,.99900001,.2057,.1494,-.2194,-96.114502,244,52,.67400002
72,1503,68,0, WYOMING,200, CAREY  R.D.  ,.35299999,.054000001,.15019999,.1962,.32390001,-57.341171,192,30,.74199998
72,5172,68,0, WYOMING,100, KENDRICK     ,-.027000001,-.31900001,.0231,.065099999,.377,-90.983231,221,46,.66299999
73,404,41,0, ALABAMA,100, BANKHEAD     ,-.19,-.30000001,.15700001,.097400002,.2685,-57.047749,207,29,.759
73,743,41,0, ALABAMA,100, BLACK  H.L.  ,-.21699999,.017999999,.21259999,.21359999,.1103,-81.606331,196,35,.65899998
73,273,61,0, ARIZONA,100, ASHURST  H.  ,-.147,-.33500001,.074500002,.068099998,.46070001,-86.259079,179,42,.61799997
73,4227,61,0, ARIZONA,100, HAYDEN  C.   ,-.061999999,-.071999997,.1293,.051600002,.40900001,-71.452187,210,32,.71200001
73,7986,42,0, ARKANSA,100, ROBINSON     ,-.308,-.616,.099299997,.14380001,.40939999,-34.299129,211,8,.85000002
73,1497,42,0, ARKANSA,100, CARAWAY  H.  ,.035999998,.32800001,.15620001,.0858,.052299999,-63.202621,186,34,.71200001
73,4962,71,0, CALIFOR,200, JOHNSON  H.  ,.31,.63700002,.030200001,.048999999,.13160001,-87.655777,181,45,.616
73,6119,71,0, CALIFOR,100, MCADOO  W.   ,-.0070000002,.124,.1168,.075800002,.2061,-56.81583,106,28,.58499998
73,2083,62,0, COLORAD,100, COSTIGAN     ,.046999998,.65399998,.2052,.1455,-.1957,-46.276451,178,26,.77100003
73,22,62,0, COLORAD,100, ADAMS  A.B.  ,.035,.0040000002,.051199999,.044100001,.037900001,-109.2,219,62,.60699999
73,5752,1,0, CONNECT,100, LONERGAN     ,-.030999999,-.28,.026900001,.063900001,.3123,-86.207314,215,38,.67000002
73,9724,1,0, CONNECT,200, WALCOTT  F.  ,.36000001,-.52600002,.12549999,.1259,.43110001,-25.118999,175,9,.866
73,9439,11,0, DELAWAR,200, TOWNSEND     ,.384,-.154,.1661,.2199,.1349,-33.758461,196,17,.84200001
73,4177,11,0, DELAWAR,200, HASTINGS     ,.491,-.33399999,.12800001,.24789999,.14120001,-21.118389,189,10,.89399999
73,9456,43,0, FLORIDA,100, TRAMMELL     ,-.104,-.294,.070600003,.0592,.38730001,-92.306839,152,44,.54500002
73,3216,43,0, FLORIDA,100, FLETCHER     ,-.259,-.56599998,.043400001,.1224,.35609999,-61.930031,184,23,.71399999
73,3536,44,0, GEORGIA,100, GEORGE  W.   ,-.001,-.011,.054900002,.0484,.1983,-82.583298,198,46,.65899998
73,8138,44,0, GEORGIA,100, RUSSELL  R.  ,.067000002,.271,.1314,.2123,.050000001,-84.655457,205,40,.662
73,858,63,0, IDAHO  ,200, BORAH  W.E.  ,.197,.47099999,.062600002,.035999998,.2313,-89.365028,185,47,.61699998
73,7524,63,0, IDAHO  ,100, POPE  J.P.   ,-.003,.42899999,.2176,.1631,-.2369,-58.56966,212,31,.759
73,2589,21,0, ILLINOI,100, DIETERICH    ,-.23999999,-.56300002,.1165,.098800004,.51230001,-41.117859,193,17,.80800003
73,5641,21,0, ILLINOI,100, LEWIS  J.H.  ,-.271,-.54900002,.1011,.098300003,.53210002,-48.292931,160,17,.73900002
73,7972,22,0, INDIANA,200, ROBINSON     ,.35299999,.60600001,.083400004,.067599997,.47870001,-55.565189,186,18,.74199998
73,9626,22,0, INDIANA,100, VAN NUYS     ,.0040000002,-.012,.0814,.056200001,.28099999,-78.675781,192,35,.66399997
73,2575,31,0, IOWA   ,200, DICKINSON    ,.368,.13699999,.16249999,.1911,.14229999,-78.826736,213,38,.69099998
73,6815,31,0, IOWA   ,100, MURPHY  R.   ,.013,.183,.1189,.082099997,.0029,-92.351173,212,44,.64700001
73,1494,32,0, KANSAS ,200, CAPPER  A.   ,.252,.412,.0185,.038899999,.1644,-96.501968,213,53,.63599998
73,6251,32,0, KANSAS ,100, MCGILL  G.   ,.050999999,.44499999,.156,.096100003,.12720001,-84.12249,210,42,.67000002
73,437,51,0, KENTUCK,100, BARKLEY  A.  ,-.204,-.32499999,.116,.1194,.2158,-43.05101,209,19,.81400001
73,5747,51,0, KENTUCK,100, LOGAN  M.M.  ,-.107,-.176,.12620001,.0682,.2949,-83.437477,180,39,.62900001
73,5758,45,0, LOUISIA,100, LONG  H.P.   ,.25999999,.70599997,.049800001,.079499997,.35330001,-69.729088,190,29,.69300002
